"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Special Mention)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Budget (Railways))";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Submissions By Members)";"Debates (Ls - Motion To Consider Policy, Situation, Statement Or Any Other Matter (Rule- 191 & 342))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Questions (Tribal Affairs)";"Questions (Finance)";"Questions (Health And Family Welfare)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Railways)";"Questions (Human Resource Development)";"Questions (Urban Development)";"Questions (Home Affairs)";"Questions (Agriculture)";"Questions (Civil Aviation)";"Questions (Prime Minister)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Environment And Forests)";"Questions (Labour And Employment)";"Questions (Defence)";"Questions (Power)";"Questions (Social Justice And Empowerment)";"Questions (Road Transport And Highways)";"Questions (Steel)";"Questions (Petroleum And Natural Gas)";"Questions (Minority Affairs)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Commerce And Industry)";"Questions (Overseas Indian Affairs)";"Questions (External Affairs)";"Questions (Chemicals And Fertilizers)";"Questions (Law And Justice)";"Questions (Mines)";"Questions (Women And Child Development)";"Questions (New And Renewable Energy)";"Questions (Shipping)";"Questions (Tourism)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Information And Broadcasting)";"Questions (Textiles)";"Questions (Water Resources)";"Questions (Culture)";"Questions (Youth Affairs And Sports)";"Questions (Coal)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Drinking Water And Sanitation)";"Questions (Development Of North Eastern Region)";"Questions (Earth Sciences)";"Questions (Panchayati Raj)";"Questions (Food Processing Industries)";"Questions (Statistics And Programme Implementation)";"Questions (Science And Technology)";"Debates (Private Members' Bills)";"Debates (Private Members' Resolutions)";"Debates (Government Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Budget (States))";"Debates (Ls - Matters Of Urgent Public Importance (Rule-184))";"Debates (Statutory Resolutions)";"Debates (Felicitations)";"Debates (Adjournment Motion)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Parliamentary Affairs)";"Debates (Others)";"Debates (Clarification On The Statement By Minister)";"Questions (Planning)";"Debates (Ls - Explanation By Members (Rule-199))";"Questions (Housing And Urban Affairs)";"Questions (Water Resources, River Development And Ganga Rejuvenation)";"Questions (Agriculture And Farmers Welfare)";"Questions (Environment, Forests And Climate Change)";"Questions (Communications)";"Questions (Environment, Forest And Climate Change)";"Questions (Electronics And Information Technology)";"Questions (Ayush)";"Questions (Skill Development And Entrepreneurship)";"Questions (Skill Development, Entrepreneurship, Youth Affairs And Sports)";"Debates (Statutory Resolution And Government Bill)";"Questions (Personnel, Public Grievances And Pensions)";"Debates (Ls - No-Confidence Motion (Rule-198))";"Debates (Ls - Personal Explanation By Members (Rule-357))";"Questions (Atomic Energy)";"Debates (Motion Of Thanks On The President�S Address)";"Questions (Ports, Shipping And Waterways)";"Questions (Jal Shakti)";"Questions (Education)";"Questions (Cooperation)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (Statiscs And Programme Implementation)";"Debates (Discussion)";"Debates (Statement By Minister)";"Questions (Consumer Affairs)";"Questions (Micro)";"Questions (Heavy Industries)";"Questions (Space)"
"Abdul Mannan Hossain";"Murshidabad";"No";"59.56%";"0";"0";"0";"West Bengal";"Indian National Congress";"Elected";"18 May 09";"In office";"0";"61.0";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Abdul Rahman";"Vellore";"No";"69.00%";"37";"583";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"0";"54.0";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"10";"16";"2";"3";"1";"1";"1";"1";"2";"4";"40";"49";"6";"2";"44";"38";"15";"43";"19";"29";"14";"18";"22";"11";"18";"11";"4";"23";"2";"18";"19";"18";"11";"8";"4";"13";"7";"7";"6";"9";"1";"12";"1";"1";"6";"4";"7";"1";"5";"5";"3";"2";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Abhijit Mukherjee";"Jangipur";"No";"97.40%";"3";"22";"0";"West Bengal";"Indian National Congress";"Elected";"13 Oct 12";"In office";"0";"54.0";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"2";"0";"4";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Abu Hasem Khan Choudhury";"Maldaha Dakshin";"Yes";"76.55%";"3";"8";"0";"West Bengal";"Indian National Congress";"Elected";"18 May 09";"In office";"0";"76.0";"Male";"Graduate";"This MP was appointed a minister in Oct, 2012. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Adagooru H Vishwanath";"Mysore";"No";"60.69%";"2";"344";"0";"Karnataka";"Indian National Congress";"Elected";"18 May 09";"In office";"0";"64.0";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"1";"0";"1";"0";"0";"0";"0";"4";"17";"13";"0";"0";"23";"33";"11";"6";"23";"10";"12";"11";"22";"5";"1";"9";"15";"17";"0";"12";"9";"8";"5";"10";"0";"0";"7";"5";"0";"5";"6";"0";"2";"0";"2";"8";"9";"3";"8";"0";"1";"3";"0";"0";"0";"6";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Adhir Ranjan Chowdhury";"Baharampur";"Yes";"80.55%";"88";"309";"18";"West Bengal";"Indian National Congress";"Elected";"18 May 09";"In office";"0";"57.0";"Male";"Under Matric";"This MP was appointed a minister in Oct, 2012. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"19";"23";"8";"8";"1";"3";"0";"1";"7";"4";"15";"19";"0";"0";"14";"19";"4";"27";"11";"12";"5";"16";"10";"4";"10";"6";"1";"9";"2";"9";"1";"9";"11";"5";"1";"20";"5";"5";"2";"4";"3";"2";"4";"1";"5";"1";"6";"3";"7";"4";"5";"2";"0";"0";"4";"2";"0";"0";"8";"6";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Adhi Sankar";"Kallakurichi";"No";"60.19%";"12";"178";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"0";"56.0";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"2";"4";"2";"2";"0";"0";"1";"3";"11";"11";"5";"2";"4";"8";"0";"7";"10";"5";"9";"3";"3";"4";"5";"9";"4";"3";"1";"9";"0";"9";"4";"10";"0";"3";"5";"0";"1";"3";"4";"2";"0";"0";"7";"2";"2";"0";"3";"2";"1";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"A. Ganeshamurthi";"Erode";"No";"71.00%";"30";"418";"0";"Tamil Nadu";"Marumalarchi Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"0";"66.0";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2";"3";"4";"4";"7";"2";"1";"0";"3";"2";"25";"37";"4";"2";"18";"14";"9";"23";"17";"15";"13";"10";"12";"11";"21";"2";"5";"8";"3";"10";"2";"14";"4";"15";"6";"13";"10";"6";"0";"13";"2";"4";"3";"10";"13";"6";"5";"3";"7";"4";"5";"3";"0";"2";"2";"1";"3";"1";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Agatha K. Sangma";"Tura";"Yes";"52.60%";"0";"0";"0";"Meghalaya";"Nationalist Congress Party";"Elected";"18 May 09";"In office";"0";"33.0";"Female";"Post Graduate";"This MP was a Minister. She tendered her resignation on 28th Oct, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th Oct, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajay Kumar";"Jamshedpur";"No";"74.44%";"55";"192";"3";"Jharkhand";"Jharkhand Vikas Morcha (Prajatantrik)";"Elected";"1 Aug 11";"In office";"0";"51.0";"Male";"Professional Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"13";"5";"15";"5";"2";"2";"5";"0";"5";"2";"12";"16";"3";"0";"10";"4";"3";"14";"2";"4";"9";"11";"5";"3";"7";"3";"4";"7";"0";"4";"0";"2";"6";"6";"1";"2";"5";"3";"1";"2";"3";"2";"0";"4";"3";"4";"4";"1";"7";"3";"0";"4";"0";"1";"3";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
